age,income,employment_years,credit_score,loan_amount,debt_to_income,existing_loans,home_ownership,loan_purpose,Default
58,64934.28,2.5,581.0,9598.57,0.131,0,RENT,education,0
61,52234.71,1.3,648.0,13843.85,0.313,0,MORTGAGE,business,0
27,67953.77,0.9,651.0,8660.64,0.16,1,RENT,home_improvement,0
34,85460.6,5.5,688.0,12536.31,0.112,1,MORTGAGE,medical,0
63,50316.93,4.7,541.0,1000.0,-0.047,1,RENT,education,0
68,50317.26,5.2,697.0,16706.35,0.318,2,MORTGAGE,business,0
45,86584.26,0.5,434.0,15009.64,0.249,1,OWN,business,0
52,70348.69,11.2,600.0,8463.29,0.178,1,MORTGAGE,business,0
58,45610.51,2.5,611.0,20273.97,0.389,1,RENT,debt_consolidation,0
42,65851.2,1.9,701.0,22500.56,0.283,1,MORTGAGE,debt_consolidation,0
36,45731.65,3.1,652.0,2139.52,0.111,0,RENT,education,1
49,45685.4,2.5,538.0,8898.2,0.138,0,RENT,medical,0
36,59839.25,,571.0,8846.86,0.173,1,RENT,education,0
32,16734.4,13.2,666.0,7480.78,0.416,2,MORTGAGE,medical,0
37,20501.64,1.8,644.0,21635.8,1.136,1,MORTGAGE,home_improvement,1
57,43754.25,10.0,604.0,13449.39,0.269,3,OWN,business,0
47,34743.38,7.6,612.0,12883.88,0.428,0,OWN,business,0
45,61284.95,13.4,706.0,1000.0,0.026,2,RENT,debt_consolidation,0
33,36839.52,1.4,609.0,20083.34,0.558,0,MORTGAGE,home_improvement,0
28,26753.93,4.3,643.0,5085.93,0.092,2,MORTGAGE,home_improvement,0
25,84312.98,1.6,824.0,15479.46,0.073,1,MORTGAGE,medical,0
32,50484.47,8.7,536.0,17219.02,0.33,1,OWN,home_improvement,0
61,56350.56,0.0,502.0,25885.27,0.472,0,MORTGAGE,debt_consolidation,0
23,26505.04,4.2,713.0,4529.44,0.115,1,MORTGAGE,medical,0
55,44112.35,2.1,596.0,1000.0,-0.032,0,OWN,education,1
53,57218.45,,625.0,16470.8,0.316,0,RENT,medical,0
42,31980.13,5.2,588.0,29404.09,0.948,3,OWN,education,1
64,62513.96,9.5,629.0,24911.57,0.392,1,OWN,medical,0
29,42987.23,4.7,778.0,16677.28,0.427,3,RENT,business,0
61,49166.13,9.6,714.0,11066.91,0.166,1,RENT,education,0
38,42965.87,1.5,719.0,21456.98,0.482,1,OWN,debt_consolidation,0
49,92045.56,3.7,537.0,7211.63,0.161,0,OWN,education,0
59,54730.06,3.0,558.0,18810.86,0.347,1,OWN,education,0
47,33845.78,0.1,423.0,19043.76,0.569,0,RENT,medical,1
56,71450.9,4.1,585.0,23481.68,0.444,4,MORTGAGE,business,1
65,30583.13,5.4,727.0,37077.28,1.142,1,OWN,medical,0
37,59177.27,4.5,691.0,18139.33,0.346,2,RENT,medical,0
54,15806.6,6.7,632.0,10928.29,0.775,1,RENT,business,1
66,28436.28,4.2,648.0,14795.41,0.504,0,MORTGAGE,medical,0
23,58937.22,0.3,595.0,1000.0,0.06,1,MORTGAGE,business,0
25,69769.33,0.6,666.0,9442.29,0.086,1,RENT,debt_consolidation,0
34,58427.37,4.5,711.0,11725.74,0.166,2,MORTGAGE,business,0
23,52687.03,1.6,521.0,10807.29,0.224,1,RENT,home_improvement,0
43,48977.93,0.4,674.0,16218.84,0.371,2,MORTGAGE,business,0
